number_of_packets,average_packet_length,number_of_unique_dests,TCP_protocol_count,UDP_protocol_count,Packet_length_variance,Inter_arrival_time_variance,label
3,199.0,2,3,0,18963.0,4.96,messaging
3,144.0,2,3,0,8116.0,0.33,messaging
3,339.33,2,3,0,67684.33,4.97,messaging
3,143.33,2,3,0,8009.33,0.32,messaging
3,210.0,2,3,0,21684.0,5.03,messaging
3,142.67,2,3,0,7909.33,0.31,messaging
3,193.33,2,3,0,17642.33,5.02,messaging
3,144.67,2,3,0,8217.33,0.31,messaging
3,196.67,2,3,0,18412.33,5.05,messaging
3,140.67,2,3,0,7609.33,0.3,messaging
3,197.67,2,3,0,18674.33,5.08,messaging
3,142.33,2,3,0,7854.33,0.3,messaging
3,195.33,2,3,0,18112.33,5.14,messaging
3,142.67,2,3,0,7906.33,0.29,messaging
3,193.67,2,3,0,17712.33,5.18,messaging
3,145.67,2,3,0,8380.33,0.28,messaging
3,195.33,2,3,0,18100.33,5.19,messaging
3,143.0,2,3,0,7957.0,0.27,messaging
3,194.67,2,3,0,17957.33,5.22,messaging
3,142.33,2,3,0,7860.33,0.26,messaging
4,367.0,2,4,0,30074.0,2.66,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,192.33,2,3,0,17416.33,0.2,messaging
3,223.0,2,3,0,39637.0,0.18,messaging
3,194.33,2,3,0,17884.33,5.64,messaging
3,145.33,2,3,0,8325.33,0.74,messaging
3,222.33,2,3,0,26494.33,3.79,messaging
3,146.33,2,3,0,8486.33,0.72,messaging
3,196.0,2,3,0,18268.0,3.87,messaging
3,145.67,2,3,0,8386.33,0.7,messaging
5,324.4,2,5,0,113273.3,0.24,messaging
3,275.67,2,3,0,55460.33,1.64,messaging
3,147.0,2,3,0,8617.0,1.66,messaging
3,205.33,2,3,0,20825.33,2.28,messaging
3,157.0,2,3,0,10507.0,1.65,messaging
3,198.67,2,3,0,18881.33,2.27,messaging
3,146.0,2,3,0,8443.0,1.68,messaging
3,195.33,2,3,0,18112.33,2.29,messaging
3,144.33,2,3,0,8184.33,1.66,messaging
3,194.67,2,3,0,17957.33,2.27,messaging
3,144.67,2,3,0,8232.33,1.67,messaging
3,193.67,2,3,0,17712.33,2.27,messaging
3,146.33,2,3,0,8480.33,1.66,messaging
3,196.33,2,3,0,18342.33,2.29,messaging
3,145.0,2,3,0,8275.0,1.67,messaging
4,396.25,2,4,0,51143.58,0.72,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,184.33,2,3,0,19046.33,3.23,messaging
3,207.67,2,3,0,21294.33,0.1,messaging
3,144.33,2,3,0,8170.33,6.16,messaging
3,198.67,2,3,0,18882.33,0.11,messaging
3,144.33,2,3,0,8184.33,6.13,messaging
4,319.5,2,4,0,59395.0,0.06,messaging
4,201.25,2,4,0,34706.25,0.0,messaging
3,144.67,2,3,0,8216.33,3.86,messaging
3,203.67,2,3,0,20162.33,0.69,messaging
3,144.67,2,3,0,8217.33,3.88,messaging
3,192.67,2,3,0,17496.33,0.69,messaging
3,142.67,2,3,0,7909.33,3.89,messaging
3,193.33,2,3,0,17637.33,0.7,messaging
3,144.0,2,3,0,8116.0,3.86,messaging
3,194.0,2,3,0,17791.0,0.71,messaging
3,146.0,2,3,0,8436.0,3.82,messaging
3,195.33,2,3,0,18112.33,0.7,messaging
5,301.4,2,5,0,45060.8,0.95,messaging
3,222.67,2,3,0,39425.33,0.41,messaging
2,275.5,2,2,0,84.5,5.76,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,142.67,2,3,0,7906.33,0.72,messaging
5,275.2,2,5,0,66049.7,1.54,messaging
2,307.0,2,2,0,968.0,0.14,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,226.0,2,2,0,1568.0,1.04,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,274.5,2,2,0,60.5,6.03,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,197.5,2,2,0,0.5,1.0,messaging
1,40.0,1,1,0,0.0,0.0,messaging
1,276.0,1,1,0,0.0,0.0,messaging
2,153.5,2,2,0,25764.5,0.0,messaging
2,198.5,2,2,0,0.5,1.0,messaging
1,40.0,1,1,0,0.0,0.0,messaging
5,318.4,2,5,0,50389.8,1.01,messaging
3,205.33,2,3,0,20697.33,1.03,messaging
2,268.5,2,2,0,11100.5,0.28,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,193.0,2,3,0,17559.0,5.62,messaging
2,198.0,2,2,0,18.0,0.28,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,256.33,2,3,0,44412.33,5.62,messaging
2,222.5,2,2,0,1740.5,0.28,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,200.33,2,3,0,19286.33,5.62,messaging
2,196.5,2,2,0,0.5,0.29,messaging
6,237.17,2,6,0,66311.77,0.0,messaging
3,142.33,2,3,0,7866.33,0.65,messaging
3,214.0,2,3,0,23607.0,2.01,messaging
3,168.0,2,3,0,13513.0,1.91,messaging
3,196.33,2,3,0,18342.33,2.02,messaging
3,143.0,2,3,0,7959.0,1.92,messaging
3,196.0,2,3,0,18253.0,1.99,messaging
3,145.0,2,3,0,8269.0,1.92,messaging
5,307.4,2,5,0,44765.3,0.1,messaging
3,204.33,2,3,0,20634.33,4.07,messaging
3,206.33,2,3,0,29680.33,0.09,messaging
3,196.33,2,3,0,18350.33,6.26,messaging
3,147.0,2,3,0,8643.0,0.09,messaging
3,200.33,2,3,0,19292.33,6.26,messaging
3,144.67,2,3,0,8216.33,0.09,messaging
3,199.0,2,3,0,18961.0,6.26,messaging
3,145.33,2,3,0,8325.33,0.09,messaging
3,195.0,2,3,0,18021.0,6.26,messaging
3,147.0,2,3,0,8599.0,0.09,messaging
5,249.8,2,5,0,41159.2,2.72,messaging
2,223.5,2,2,0,1984.5,0.14,messaging
4,235.0,2,4,0,52502.67,0.0,messaging
2,201.0,2,2,0,2.0,11.82,messaging
4,174.5,2,4,0,24803.0,0.0,messaging
2,194.5,2,2,0,0.5,11.85,messaging
4,159.25,2,4,0,18974.25,0.0,messaging
2,302.0,2,2,0,22050.0,11.73,messaging
4,156.75,2,4,0,18174.25,0.0,messaging
2,219.5,2,2,0,1404.5,11.69,messaging
4,159.25,2,4,0,18964.92,0.0,messaging
2,193.5,2,2,0,0.5,11.63,messaging
4,211.75,2,4,0,46198.92,0.0,messaging
2,193.5,2,2,0,60.5,11.67,messaging
4,171.0,2,4,0,23175.33,0.0,messaging
4,367.75,2,4,0,18254.25,3.16,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,539.0,2,2,0,15138.0,0.69,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,217.67,2,3,0,24796.33,2.2,messaging
2,198.5,2,2,0,0.5,2.64,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,197.0,2,3,0,18517.0,2.21,messaging
1,220.0,1,1,0,0.0,0.0,messaging
4,239.5,2,4,0,42555.0,0.0,messaging
3,196.0,2,3,0,18252.0,4.2,messaging
2,199.5,2,2,0,12.5,0.04,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,194.0,2,3,0,17803.0,7.15,messaging
2,198.0,2,2,0,8.0,0.03,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,252.33,2,3,0,40786.33,7.14,messaging
2,222.0,2,2,0,1152.0,0.03,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,211.0,2,3,0,22531.0,7.12,messaging
2,198.5,2,2,0,40.5,0.03,messaging
1,40.0,1,1,0,0.0,0.0,messaging
5,266.6,2,5,0,61637.3,2.92,messaging
5,210.0,2,5,0,12594.5,0.11,messaging
1,40.0,1,1,0,0.0,0.0,messaging
5,198.0,2,5,0,9209.5,4.76,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,274.0,2,2,0,8.0,12.06,messaging
4,117.75,2,4,0,8064.25,0.0,messaging
5,298.4,2,5,0,41723.8,0.75,messaging
2,234.0,2,2,0,2738.0,4.2,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,200.0,2,3,0,19344.0,0.11,messaging
3,143.67,2,3,0,8090.33,6.11,messaging
3,207.33,2,3,0,21144.33,0.11,messaging
3,142.33,2,3,0,7854.33,6.11,messaging
3,194.67,2,3,0,17957.33,0.11,messaging
3,142.67,2,3,0,7914.33,6.1,messaging
3,194.33,2,3,0,17864.33,0.11,messaging
3,144.0,2,3,0,8112.0,6.08,messaging
3,194.67,2,3,0,17942.33,0.11,messaging
2,198.5,2,2,0,0.5,9.09,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,196.67,2,3,0,18417.33,0.13,messaging
2,199.5,2,2,0,12.5,9.05,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,197.33,2,3,0,18601.33,0.13,messaging
2,196.5,2,2,0,4.5,9.02,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,273.5,2,2,0,4.5,0.22,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,190.5,2,2,0,4.5,8.93,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,274.0,2,2,0,32.0,0.23,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,193.0,2,2,0,50.0,8.88,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,277.5,2,2,0,60.5,0.24,messaging
1,40.0,1,1,0,0.0,0.0,messaging
1,198.0,1,1,0,0.0,0.0,messaging
2,118.0,2,2,0,12168.0,0.0,messaging
2,278.0,2,2,0,2.0,0.23,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,141.0,2,3,0,7653.0,5.84,messaging
2,279.5,2,2,0,4.5,0.24,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,144.33,2,3,0,8166.33,5.82,messaging
2,274.0,2,2,0,0.0,0.24,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,141.33,2,3,0,7702.33,5.82,messaging
3,220.33,2,3,0,25512.33,0.15,messaging
2,198.0,2,2,0,50.0,8.72,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,274.5,2,2,0,24.5,0.25,messaging
1,40.0,1,1,0,0.0,0.0,messaging
2,198.5,2,2,0,12.5,8.78,messaging
